Nombre,Cadena,Volumen30d,Cambio30d,MarketCap,PrecioMinimo,PrecioMedio,Ventas30d,ActivosTotal,Propietarios
PudgyPenguins,Ethereum,37825,8.93%,117477,12,16.81,2250,8888,4522
BoredApeYachtClub,Ethereum,35136.83,56.75%,161991,14,17.62,1994,10000,5312
MutantApeYachtClub,Ethereum,26093.12,24.57%,53057.63,2.28,3.44,7578,19490,11265
DeGods,Ethereum,13349.06,40.52%,14692.59,1.4,2.44,5471,8983,2984
Lil Pudgys,Ethereum,13117.5,26.55%,25278.46,1,1.58,8273,21624,7901
Moonbirds,Ethereum,11536.63, 396.10%,9422,0.83,1.6,7169,10000,5633
Azuki,Ethereum,11139.5,72.88%,40970,4.3,5.22,2132,10000,4144
Milady,Ethereum,9800.82,136.27%,47331,4.4,3.3,2976,10000,3484
Creepz by OVERLORD,Ethereum,6190.88,318.63%,32757,2.7,3.97,1558,10290,2551
Persona,Ethereum,5792.02,22.12%,2922.61,0.31,0.43,13617,8843,3921
MATR1X KUKU,Ethereum,4688.55,12.62%,12782,2.6,2.31,2030,6666,2060
Captainz,Ethereum,4400.19,185.50%,43146.68,4.29,4.15,1059,9999,3882
Azuki Elementals,Ethereum,3904.02,1.76%,7157.59,0.39,0.57,6787,15645,5394
Doodles,Ethereum,3532.49,45.50%,18027,1.64,2.9,1220,10000,5453
Sappy Seals,Ethereum,3522.08,184.27%,9207,0.795,1.1,3180,10000,1588	
Pixelmon,Ethereum,3460.41,44.02%,19453.42,1.45,1.88,1836,12566,2709	
CloneX,Ethereum,3417.96,0.12%,17077.26,0.55,1.16,2938,19593,9516	
Yakuza Pandas,Ethereum,3391.37,7.67%,20285.58,2.487,2.82,1200,7957,3003
Art Blocks 1,Ethereum,3007.6,65.65%,427767.22,0.12,3.25,924,197720,38085	
Redacted Remilio Babies,Ethereum,2658.12,13.65%,12779,1.0999,0.9389,2831,10000,2517	
Farm Land by Pixels,Ethereum,2650.14,19.35%,7024,1.07,1.6032,1653,5000,2008	
Nobody,Ethereum,2526.56,80.94%,2501,0.219,0.4087,6182,10000,3763	
TinFun,Ethereum,2483.76,47.27%,2142,0.18,0.3842,6465,10000,3889
BoredApeKennelClub,Ethereum,2085.28,35.42%,6306.59,0.665,0.9977,2090,9602,5058	
loomlocknft,Ethereum,1947.95,178.77%,9683.42,0.7,1.2344,1578,12345,2900	
Sheboshis,Ethereum,1909.79,305.68%,2331.94,0.09,0.1105,17290,18806,1951	
Honey Comb,Ethereum,1325.1,21.77%,4067.23,0.2689,0.3447,3844,16420,4095	
Terraforms,Ethereum,1295.49,23.34%,15706.95,1.495,1.6912,766,9911,1975	
Mavia Land,Ethereum,1259.71,56.91%,3858.39,0.319,0.6467,1948,10001,2631	
Art Blocks 2,Ethereum,1139.61,70.01%,70629.15,5.7999,6.4385,177,11010,2986	
Mocaverse,Ethereum,1048.35,10.93%,31674.17,3.35,3.518,298,8888,2103	
TENJIN,Ethereum,1042.79,72.60%,2473.6,0.265,0.381,2737,8000,3384	
BlockGames Dice,Ethereum,1034.56,153.83%,4226.8,0.729,0.5895,1755,5555,1896	
